구분,화장실명,주소,층수,남성변기수,여성변기수,개방시간상세,WGS84위도,WGS84경도
"공중화장실","국립세종수목원 옥외F","세종특별자치시 수목원로 136 국립세종수목원 옥외F","1","3","6","",36.4980961605711,127.28578889756
"공중화장실","아름동공영주차장","세종특별자치시 보듬3로 105 아름동공영주차장","1","4","8","",36.5113973135509,127.24786574093
"공중화장실","아름동우체국","세종특별자치시 보듬3로 111 아름동우체국","1","4","5","",36.5114272645381,127.247328986949
"공중화장실","아름스포츠센터","세종특별자치시 보듬3로 126 아름스포츠센터","1","6","9","",36.5122384073169,127.245708722611
"공중화장실","아름행복타워","세종특별자치시 보듬3로 150 아름행복타워","1","17","17","",36.5122563691008,127.243011106889
"개방화장실","아리랑빌딩","세종특별자치시 남세종로 458 아리랑빌딩","1","4","4","",36.4770342134883,127.289237847341
"공중화장실","아마존타워","세종특별자치시 시청대로 20 아마존타워","1","3","4","",36.4744746693691,127.275325093674
"공중화장실","아이콤스타시티","세종특별자치시 소담로 93 아이콤스타시티","1","1","1","",36.4858240104391,127.301401384789
"공중화장실","아침뜰근린공원","세종특별자치시 한솔동 1246 아침뜰근린공원","1","3","7","",36.4774507450125,127.254711937086
"개방화장실","아평빌딩","세종특별자치시 남세종로 466 아평빌딩","1","17","25","",36.476722407628,127.288383514165
"공중화장실","아름동복합커뮤니티센터","세종특별자치시 보듬3로 114 아름동복합커뮤니티센터","1","18","26","",36.5122383895656,127.246982818469
"개방화장실","세종중앙타워","세종특별자치시 세종로 1219 세종중앙타워","1","15","22","",36.5116348822129,127.241037472993
"간이화장실","금남졸음쉼터","세종특별자치시 금남면 영곡리 614 금남졸음쉼터","1","1","1","",36.45038124135153,127.25410850887793
"개방화장실","서세종영업소","세종특별자치시 장군면 당진영덕고속도로 74 서세종영업소","1","1","3","",36.4929177149899,127.190612075506
"개방화장실","남세종영업소","세종특별자치시 금남면 당진영덕고속도로 85 남세종영업소","1","2","5","",36.4228849968666,127.295598427436
"공중화장실","에스오일 세종셀프주유소","세종특별자치시 다정북로 221 에스오일 세종셀프주유소","1","1","1","",36.4949854286668,127.255027724731
"공중화장실","GS칼텍스 세종청사주유소","세종특별자치시 보듬5로 6 GS칼텍스 세종청사주유소","1","1","1","",36.5167264903234,127.258386119726
"공중화장실","조천 산책로","세종특별자치시 조치원읍 신안리 480-8 조천 산책로","1","1","1","",36.6302902037533,127.290338037624
"공중화장실","조천 제방1","세종특별자치시 조치원읍 허만석로 266 조천 제방1","1","1","1","",36.6035282198181,127.304708826229
"공중화장실","조천 제방3","세종특별자치시 조치원읍 번암리 55-5 조천 제방3","1","1","2","",36.5864200574934,127.299021722499
"공중화장실","세종전통시장제1공영주차장","세종특별자치시 조치원읍 새내로 99 세종전통시장제1공영주차장","1","3","6","",36.6006352391697,127.297778003997
"공중화장실","조치원GR빌딩","세종특별자치시 조치원읍 군청로 86 조치원GR빌딩","1","1","1","",36.5922758701175,127.29386992811
"공중화장실","조치원LPG충전소","세종특별자치시 조치원읍 세종로 2738 조치원LPG충전소","1","1","1","",36.6305122998157,127.28905478184
"공중화장실","조치원버스터미널","세종특별자치시 조치원읍 조치원로 54 조치원버스터미널","1","3","4","",36.6018647952332,127.302626932002
"공중화장실","조치원소방서","세종특별자치시 조치원읍 세종로 2439 조치원소방서","1","4","2","",36.6044668143914,127.288760860265
"공중화장실","조치원수영장","세종특별자치시 조치원읍 대첩로 76 조치원수영장","1","2","3","",36.595673778195,127.287934964093
"공중화장실","침산리 모자이크","세종특별자치시 조치원읍 행복4길 18 침산리 모자이크","1","3","5","",36.6043777390807,127.291738475079
"공중화장실","침산리 충령탑","세종특별자치시 조치원읍 침산1길 5-4 침산리 충령탑","1","1","2","",36.5991811817548,127.294286494318
"공중화장실","코끼리타워","세종특별자치시 한누리대로 2012 코끼리타워","1","1","1","",36.4853106513545,127.29985143841
"공중화장실","코스트코 세종점","세종특별자치시 종합운동장1로 14 코스트코 세종점","1","6","14","",36.4675446630747,127.269161709348
"공중화장실","태산주유소","세종특별자치시 소정면 세종로 4274 태산주유소","1","1","1","",36.697542244149,127.153681349335
"공중화장실","태양빌딩","세종특별자치시 대평로 87 태양빌딩","1","15","22","",36.474445837168,127.275869284753
"공중화장실","테라스힐빌딩","세종특별자치시 마음로 272-11 테라스힐빌딩","1","10","14","",36.5188165226093,127.236224290637
"공중화장실","판타지타워","세종특별자치시 한누리대로 2257 판타지타워","1","13","19","",36.4726136159886,127.277998405269
"공중화장실","퍼스트시티","세종특별자치시 한누리대로 2007 퍼스트시티","1","1","1","",36.485187010239,127.300926306033
"공중화장실","페스티벌2","세종특별자치시 다정중앙로 52 페스티벌2","1","7","7","",36.4951814591185,127.249257297753
"공중화장실","펠리체타워1","세종특별자치시 대평로 71 펠리체타워1","1","3","5","",36.4732788550834,127.277222179129
"공중화장실","펠리체타워3","세종특별자치시 한누리대로 2003 펠리체타워3","1","18","26","",36.4854468874014,127.301111445983
"간이화장실","평리","세종특별자치시 조치원읍 평리 120","1","1","1","",36.6058422263939,127.302491132585
"공중화장실","평산주유소","세종특별자치시 조치원읍 허만석로 84 평산주유소","1","1","1","",36.5886525174054,127.299391830218
"공중화장실","포레뷰1차","세종특별자치시 한누리대로 287 포레뷰1차","1","3","4","",36.4897960421941,127.256156542828
"공중화장실","국민건강보험공단세종지사","세종특별자치시 세종로 1234-5 국민건강보험공단세종지사","1","4","8","",36.5134584370333,127.241982331961
"공중화장실","이응다리 남측","세종특별자치시 보람동 626-7 이응다리 남측","1","5","14","",36.4810132801954,127.288678278915
"공중화장실","이응다리 북측","세종특별자치시 세종동 114-401 이응다리 북측","1","4","7","",36.4864916734286,127.282927178971
"공중화장실","장군119안전센터","세종특별자치시 장군면 장척로 391 장군119안전센터","1","4","2","",36.4966081155091,127.204291946295
"공중화장실","장군치안센터","세종특별자치시 장군면 장척로 393 장군치안센터","1","1","1","",36.4967617853248,127.20433141461
"공중화장실","장기주유소","세종특별자치시 장군면 장척로 408-7 장기주유소","1","1","1","",36.4972912215427,127.206317527997
"공중화장실","형국민체육센터","세종특별자치시 시청대로 591 형국민체육센터","1","7","12","",36.4946309663501,127.319260858668
"공중화장실","재께뜰근린공원","세종특별자치시 반곡로 49 재께뜰근린공원","1","5","10","",36.4985449116791,127.311641299115
"공중화장실","전동면복합커뮤니티센터","세종특별자치시 전동면 운주산로 386 전동면복합커뮤니티센터","1","7","10","",36.6559325998439,127.264118192246
"공중화장실","전동우체국","세종특별자치시 전동면 전동로 3 전동우체국","1","1","1","",36.6540752116906,127.266695237351
"공중화장실","전동주유소","세종특별자치시 전동면 운주산로 355 전동주유소","1","1","1","",36.653498763343,127.266451005999
"공중화장실","전동파출소","세종특별자치시 전동면 하노장4길 9 전동파출소","1","1","1","",36.6559084373779,127.265016205148
"공중화장실","세종 에비뉴힐","세종특별자치시 갈매로 353 세종 에비뉴힐","1","61","119","",36.495606258638,127.262700936321
"공중화장실","번암119구급대","세종특별자치시 조치원읍 허만석로 54 번암119구급대","1","1","1","",36.5859889301301,127.296939433412
"공중화장실","세종MVG","세종특별자치시 나성북로 15 세종MVG","1","21","32","",36.4897295048332,127.258386489683
"개방화장실","세종NS타워2차","세종특별자치시 나성로 125-4 세종NS타워2차","1","21","31","",36.4902461277372,127.258890199895
"공중화장실","세종SB플라자","세종특별자치시 조치원읍 군청로 93 세종SB플라자","1","33","55","",36.5929080271828,127.292364797886
"공중화장실","세종고속시외버스터미널","세종특별자치시 갈매로 37-12 세종고속시외버스터미널","1","4","8","",36.4692223918999,127.273661921998
"공중화장실","세종남부경찰서","세종특별자치시 시청대로 190 세종남부경찰서","1","1","1","",36.4809682345902,127.292778951155
"공중화장실","세종대평시장","세종특별자치시 금남면 대평시장1길 17-2 세종대평시장","1","3","5","",36.4672810260597,127.282059958783
"공중화장실","세종대평주유소","세종특별자치시 종합운동장로 29 세종대평주유소","1","1","1","",36.4690486511135,127.268182384473
"공중화장실","세종등기소","세종특별자치시 조치원읍 새내16길 27 세종등기소","1","4","5","",36.6045114845664,127.299183187041
"공중화장실","세종마루2","세종특별자치시 한누리대로 316 세종마루2","1","1","1","",36.4924823285133,127.256814495365
"공중화장실","세종메디컬센터","세종특별자치시 한누리대로 2265 세종메디컬센터","1","3","5","",36.4721012232451,127.277143228236
"공중화장실","세종메디컬의원","세종특별자치시 조치원읍 허만석로 69 세종메디컬의원","1","3","4","",36.5877596404011,127.297603047498
"공중화장실","국책연구단지2청사","세종특별자치시 시청대로 370 국책연구단지2청사","1","5","8","",36.495796984508,127.304465262475
"공중화장실","굿모닝주유소","세종특별자치시 조치원읍 세종로 2712 굿모닝주유소","1","1","1","",36.6279994278812,127.289745614203
"공중화장실","그랜드프라자","세종특별자치시 마음로 74 그랜드프라자","1","4","6","",36.5052791131682,127.234075776892
"공중화장실","그린주유소","세종특별자치시 조치원읍 세종로 2706 그린주유소","1","1","2","",36.6275549047151,127.289964981743
"공중화장실","금강노을","세종특별자치시 시청대로 115 금강노을","1","2","3","",36.4790541217474,127.284606092541
"개방화장실","금강베네치아","세종특별자치시 시청대로 213 금강베네치아","1","12","22","",36.4836290781446,127.293550928346
"공중화장실","금강수변공원","세종특별자치시 대평동 63-21 금강수변공원","1","4","8","",36.4743498869015,127.273588785782
"공중화장실","금강수변공원","세종특별자치시 보람동 623-24 금강수변공원","1","2","4","",36.4822719712236,127.291919908111
"공중화장실","금남근린공원","세종특별자치시 금남면 용포로 63-9 금남근린공원","1","4","6","",36.4643541365423,127.280074848799
"공중화장실","금남면행정복지센터","세종특별자치시 금남면 용포로 57 금남면행정복지센터","1","4","6","",36.4637668427297,127.280231606291
"공중화장실","금남프라자","세종특별자치시 호려울로 45 금남프라자","1","3","3","",36.4782313172509,127.290015479499
"간이화장실","금락정","세종특별자치시 금남면 부용리 80-8 금락정","1","1","1","",36.5033748476098,127.352523092782
"공중화장실","부강생활체육공원","세종특별자치시 부강면 부강금호로 170 부강생활체육공원","1","3","8","",36.5130382547578,127.367602201904
"공중화장실","방울새어린이공원","세종특별자치시 다솜로 175 방울새어린이공원","1","3","5","",36.4960682260586,127.26895456741
"공중화장실","부강119안전센터","세종특별자치시 부강면 청연로 7 부강119안전센터","1","3","1","",36.5283507401657,127.372116299698
"개방화장실","청춘1번가","세종특별자치시 시청대로 537 청춘1번가","1","3","5","",36.4993903638607,127.317523881779
"공중화장실","보람종합복지센터","세종특별자치시 한누리대로 2107 보람종합복지센터","1","36","66","",36.4792978000957,127.292541456389
"공중화장실","전의119안전센터","세종특별자치시 전의면 서정길 46-6 전의119안전센터","1","3","1","",36.6864871018988,127.192328833053
"공중화장실","조치원역","세종특별자치시 조치원읍 으뜸길 215 조치원역","1","5","10","",36.6035059032963,127.296333946292
"공중화장실","조치원우체국","세종특별자치시 조치원읍 새내12길 3 조치원우체국","1","3","3","",36.6025934719823,127.298331727843
"공중화장실","조치원읍복합커뮤니티센터","세종특별자치시 조치원읍 대첩로 76 조치원읍복합커뮤니티센터","1","15","30","",36.595673778195,127.287934964093
"공중화장실","새롬동복합커뮤니티센터","세종특별자치시 새롬중앙로 44 새롬동복합커뮤니티센터","1","3","6","",36.4852295279661,127.251875612654
"공중화장실","밀레니엄","세종특별자치시 한누리대로 296 밀레니엄","1","23","17","",36.4906871212038,127.256904102361
"공중화장실","장군면주민센터","세종특별자치시 장군면 장척로 400 장군면주민센터","1","7","7","",36.4968692016271,127.205224939854
"공중화장실","충청남도산림박물관","세종특별자치시 금남면 산림박물관길 110 충청남도산림박물관","1","7","6","",36.4376993757342,127.232743326942
"공중화장실","금강자연휴양림 서문","세종특별자치시 금남면 산림박물관길 110 금강자연휴양림 서문","1","4","6","",36.4376993757342,127.232743326942
"공중화장실","원리119지역대","세종특별자치시 조치원읍 으뜸길 235 원리119지역대","1","1","1","",36.6020406901491,127.296499341951
"공중화장실","베스트주유소","세종특별자치시 조치원읍 세종로 2749 베스트주유소","1","1","2","",36.6311933251175,127.287922822449
"공중화장실","포레뷰2차","세종특별자치시 한누리대로 291 포레뷰2차","1","3","4","",36.4902093057163,127.256033911695
"공중화장실","푸드스퀘어 1동","세종특별자치시 장군면 당암길 42 푸드스퀘어 1동","1","2","3","",36.4977424041111,127.23310012525
"공중화장실","푸드스퀘어 2동","세종특별자치시 장군면 당암길 42 푸드스퀘어 2동","1","2","3","",36.4977424041111,127.23310012525
"간이화장실","품안뜰근린공원","세종특별자치시 다정동 921 품안뜰근린공원","1","2","6","",36.4973116128195,127.252045323428
"공중화장실","하나타워","세종특별자치시 세종로 1234-12 하나타워","1","2","4","",36.5125962717059,127.242663195322
"공중화장실","세종선거관리위원회","세종특별자치시 남세종로 426 세종선거관리위원회","1","4","4","",36.4784138297868,127.29240434109
"공중화장실","세종세무서 조치원민원실","세종특별자치시 조치원읍 충현로 193 세종세무서 조치원민원실","1","1","1","",36.6056651658648,127.293914676452
"공중화장실","세종세무서","세종특별자치시 시청대로 126 세종세무서","1","4","9","",36.4787969380223,127.285997874437
"공중화장실","세종센터빌딩A동","세종특별자치시 노을3로 101 세종센터빌딩A동","1","2","3","",36.4799322376078,127.25341323837
"공중화장실","법조타운A","세종특별자치시 한누리대로 1958 법조타운A","1","3","5","",36.4896043271129,127.302198923893
"공중화장실","","세종특별자치시 조치원읍 세종로 2210","1","1","1","",36.5844487593288,127.292981763697
"간이화장실","합강캠핑장","세종특별자치시 태산로 329 합강캠핑장","1","3","5","",36.5174763515632,127.337182917433
"공중화장실","하나프라자","세종특별자치시 노을3로 92 하나프라자","1","2","3","",36.4799434181479,127.254933453522
"공중화장실","금화빌딩","세종특별자치시 고운서길 14 금화빌딩","1","4","5","",36.5057403348887,127.234895720304
"공중화장실","기쁨뜰근린공원","세종특별자치시 갈매로 653 기쁨뜰근린공원","1","2","3","",36.5214505268184,127.264180428314
"간이화장실","김종서장군묘","세종특별자치시 장군면 대교리 산 45 김종서장군묘","1","1","1","",36.5226857810739,127.215585501831
"공중화장실","나라주유소","세종특별자치시 연동면 청연로 236 나라주유소","1","1","2","",36.535411094447,127.349740500744
"공중화장실","나성동복합커뮤니티센터","세종특별자치시 갈매로 280 나성동복합커뮤니티센터","1","22","32","",36.4890715911655,127.264260830304
"공중화장실","남리 도시공원1","세종특별자치시 조치원읍 장안2길 74 남리 도시공원1","1","3","4","",36.5979801196009,127.302785991893
